1432166100.83,35.0,36.0,50.0
1432166100.862,28.0,19.0,41.0
1432166100.893,29.0,41.0,51.0
1432166100.924,22.0,32.0,51.0
1432166100.955,22.0,36.0,49.0
1432166100.987,17.0,39.0,48.0
1432166101.018,15.0,42.0,46.0
1432166101.049,15.0,39.0,45.0
1432166101.08,13.0,39.0,43.0
1432166101.112,16.0,41.0,44.0
1432166101.143,19.0,48.0,47.0
1432166101.174,19.0,47.0,46.0
1432166101.205,18.0,45.0,43.0
1432166101.237,19.0,43.0,42.0
1432166101.268,19.0,44.0,45.0
1432166101.299,20.0,43.0,45.0
1432166101.33,19.0,44.0,45.0
1432166101.362,17.0,46.0,44.0
1432166101.393,15.0,44.0,44.0
1432166101.424,11.0,48.0,44.0
1432166101.455,10.0,49.0,44.0
1432166101.487,5.0,50.0,39.0
1432166101.518,5.0,53.0,37.0
1432166101.549,7.0,49.0,42.0
1432166101.58,4.0,54.0,41.0
1432166101.612,6.0,57.0,39.0
1432166101.643,9.0,44.0,44.0
1432166101.674,10.0,45.0,41.0
1432166101.705,11.0,37.0,44.0
1432166101.737,6.0,35.0,36.0
1432166101.768,21.0,48.0,47.0
1432166101.799,23.0,47.0,53.0
1432166101.83,16.0,48.0,46.0
1432166101.862,13.0,50.0,35.0
1432166101.893,13.0,51.0,36.0
1432166101.924,12.0,40.0,44.0
1432166101.955,8.0,68.0,23.0
1432166101.987,9.0,59.0,35.0
1432166102.018,9.0,55.0,26.0
1432166102.049,12.0,51.0,32.0
1432166102.08,8.0,45.0,34.0
1432166102.112,3.0,58.0,23.0
1432166102.143,1.0,44.0,27.0
1432166102.174,6.0,42.0,39.0
1432166102.205,9.0,42.0,38.0
1432166102.237,8.0,63.0,39.0
1432166102.268,13.0,44.0,56.0
1432166102.299,18.0,32.0,50.0
1432166102.33,19.0,24.0,49.0
1432166102.362,17.0,27.0,43.0
1432166102.393,17.0,24.0,44.0
1432166102.424,14.0,22.0,48.0
1432166102.456,17.0,24.0,54.0
1432166102.487,15.0,43.0,48.0
1432166102.518,14.0,50.0,48.0
1432166102.549,16.0,61.0,47.0
1432166102.58,16.0,47.0,43.0
1432166102.612,19.0,67.0,38.0
1432166102.643,21.0,51.0,35.0
1432166102.674,26.0,47.0,37.0
1432166102.706,20.0,45.0,40.0
1432166102.737,17.0,50.0,41.0
1432166102.768,16.0,56.0,40.0
1432166102.799,23.0,35.0,37.0
1432166102.831,23.0,43.0,34.0
1432166102.862,26.0,53.0,41.0
1432166102.893,24.0,52.0,44.0
1432166102.924,24.0,44.0,32.0
1432166102.956,24.0,44.0,41.0
1432166102.987,22.0,51.0,38.0
1432166103.018,19.0,54.0,32.0
1432166103.049,16.0,55.0,35.0
1432166103.081,19.0,50.0,36.0
1432166103.112,20.0,49.0,28.0
1432166103.143,23.0,58.0,40.0
1432166103.174,26.0,54.0,44.0
1432166103.206,27.0,47.0,28.0
1432166103.237,24.0,52.0,24.0
1432166103.268,24.0,56.0,40.0
1432166103.299,36.0,62.0,62.0
1432166103.331,36.0,54.0,58.0
1432166103.362,36.0,49.0,59.0
1432166103.393,31.0,30.0,64.0
1432166103.424,23.0,23.0,61.0
1432166103.456,2.0,-4.0,59.0
1432166103.487,-8.0,-14.0,59.0
1432166103.518,-26.0,-15.0,47.0
1432166103.549,-29.0,0.0,21.0
1432166103.581,-27.0,1.0,13.0
1432166103.612,-18.0,14.0,22.0
1432166103.643,9.0,61.0,62.0
1432166103.674,16.0,54.0,-10.0
1432166103.706,40.0,101.0,-1.0
1432166103.737,67.0,61.0,66.0
1432166103.768,64.0,65.0,56.0
1432166103.799,61.0,29.0,6.0
1432166103.831,78.0,70.0,33.0
1432166103.862,83.0,42.0,107.0
1432166103.893,50.0,13.0,43.0
1432166103.924,30.0,-5.0,9.0
1432166103.956,20.0,-25.0,19.0
1432166103.987,52.0,23.0,46.0
1432166104.018,66.0,38.0,41.0
1432166104.049,70.0,29.0,47.0
1432166104.081,75.0,11.0,57.0
1432166104.112,71.0,19.0,47.0
1432166104.143,67.0,34.0,51.0
1432166104.174,67.0,61.0,57.0
